d_oldage,d_health,d_rvf,d_cbpp,hsize_mean,hsize_min,hsize_max,rvf,cbpp
1791,15,470,127,2.75,0,26,0.8400000000000001,0.8800000000000001
1783,17,490,98,2.84,0,20,0.5,0.8400000000000001
1787,13,461,132,2.93,0,24,0.9199999999999999,0.78
1755,10,533,99,2.36,0,28,-0.52,0.8400000000000001
1818,22,473,144,3.69,0,24,0.8,0.6399999999999999
1826,11,506,118,4.03,0,25,0.72,0.9
1808,13,488,128,3.62,0,35,0.74,0.8
1807,14,501,134,2.55,0,18,0.6799999999999999,0.76
1818,19,459,128,2.88,0,25,0.8,0.6799999999999999
1796,24,499,135,3.51,0,21,0.68,0.8
1841,13,474,106,3.29,0,22,0.8,0.8400000000000001
1850,16,450,122,4.06,0,32,0.8800000000000001,0.72
1773,11,478,141,3.12,0,32,0.7,0.6199999999999999
1795,19,500,144,2.83,0,17,0.5599999999999999,0.72
1815,18,494,129,3.17,0,21,0.6599999999999999,0.78
1804,20,484,103,2.69,0,16,0.78,0.86
1798,17,486,120,3.89,0,37,0.8600000000000001,0.8200000000000001
1761,13,495,130,2.58,0,26,0.7,0.6599999999999999
1726,18,445,99,2.43,0,22,0.8400000000000001,0.8800000000000001
1785,23,475,110,2.83,0,25,0.74,0.74
1760,16,517,106,2.77,0,18,0.78,0.9000000000000001
1841,17,513,109,3.61,0,26,0.58,0.76
1849,26,483,129,3.88,0,28,0.72,0.6799999999999999
1815,12,487,114,3.85,0,39,0.6199999999999999,0.8
1781,20,476,122,2.62,0,24,0.6799999999999999,0.8400000000000001
1787,7,448,110,2.32,0,19,0.72,0.76
1651,30,469,405,1.43,0,15,0.9,-0.6199999999999999
1855,12,466,131,3.85,0,30,0.6,0.6599999999999999
1793,16,474,135,3.3,0,24,0.8400000000000001,0.6599999999999999
1831,12,476,112,2.98,0,24,0.86,0.82
1844,18,495,96,4.42,0,24,0.7,0.9000000000000001
1800,14,501,124,2.43,0,27,0.8600000000000001,0.8200000000000001
1768,19,512,141,2.94,0,30,0.8800000000000001,0.8
1830,17,469,93,2.99,0,19,0.82,0.8
1819,14,486,127,3.71,0,22,0.74,0.8400000000000001
1786,15,506,114,3.01,0,20,0.76,0.7
1838,22,501,110,3.91,0,27,0.6399999999999999,0.8200000000000001
1801,17,480,109,2.9,0,32,0.76,0.74
1776,14,493,133,3.38,0,35,0.34,0.6399999999999999
1737,14,631,106,2.7,0,17,-0.8,0.74
1806,10,477,126,3.4,0,28,0.8600000000000001,0.68
1814,14,509,135,3.35,0,23,0.8,0.6199999999999999
1754,8,536,117,3.04,0,18,-0.13999999999999999,0.8800000000000001
1846,17,468,94,3.69,0,31,0.8399999999999999,0.86
1834,17,527,117,4.43,0,35,0.74,0.8400000000000001
1828,13,468,108,3.33,0,27,0.7399999999999999,0.74
1807,12,500,144,3.41,0,21,0.6799999999999999,0.6599999999999999
1766,9,476,118,2.46,0,21,0.74,0.74
1789,17,484,139,2.91,0,22,0.6799999999999999,0.6799999999999999
1841,15,479,132,3.92,0,26,0.78,0.76
