d_oldage,d_health,d_rvf,d_cbpp,hsize_mean,hsize_min,hsize_max,rvf,cbpp
1711,23,509,206,2.68,0,25,-0.06,0.06
1639,10,489,301,1.43,0,16,-0.06000000000000001,-0.2
1742,18,535,206,3.03,0,21,-0.18,0.12000000000000002
1663,18,542,231,1.97,0,17,-0.18,-0.09999999999999999
1791,19,475,185,3.0,0,23,0.14000000000000004,0.14
1737,25,525,259,2.51,0,20,-0.020000000000000007,0.02
1722,15,531,263,3.29,0,26,0.02,0.02
1723,15,489,240,2.26,0,15,-0.08,0.020000000000000007
1713,16,520,160,2.09,0,19,-0.15999999999999998,0.14
1707,12,503,243,2.26,0,21,-0.039999999999999994,-0.18000000000000002
1747,16,505,233,2.84,0,31,0.18,-0.06000000000000001
1752,22,510,230,3.02,0,22,0.06000000000000001,0.12
1706,14,515,230,2.09,0,26,-0.15999999999999998,-0.04
1679,16,544,241,2.16,0,24,-0.08000000000000002,-0.020000000000000007
1721,18,480,260,2.49,0,18,-0.08,0.040000000000000015
1681,16,472,247,1.64,0,14,0.04000000000000001,-0.06
1707,16,551,212,2.19,0,16,0.020000000000000007,0.12
1663,16,501,238,1.86,0,20,-0.04,0.08
1639,16,497,160,1.79,0,16,-0.12000000000000002,0.18
1643,14,508,279,1.08,0,14,-0.04000000000000001,-0.14
1704,18,497,254,2.28,0,18,0.019999999999999973,0.08
1702,15,548,260,1.62,0,12,-0.1,-0.019999999999999997
1716,18,536,212,2.3,0,20,-0.07999999999999999,-0.1
1716,9,520,208,2.2,0,15,-0.020000000000000007,0.04
1680,13,509,231,2.01,0,22,0.08,-5.551115123125783e-18
1713,9,452,217,1.67,0,19,0.03999999999999999,-0.12000000000000002
1670,15,529,304,2.07,0,17,0.0,-0.16
1764,12,508,227,3.03,0,25,0.12000000000000002,0.019999999999999997
1689,17,480,269,2.46,0,27,0.0,-0.14
1737,20,499,209,2.45,0,17,0.02,0.12000000000000002
1712,21,544,219,2.56,0,29,0.02,0.06000000000000001
1735,10,515,204,2.27,0,21,-0.1,0.06000000000000001
1704,18,522,248,1.76,0,12,-0.04000000000000001,-0.08
1741,14,477,193,2.23,0,24,0.1,0.08
1717,21,551,221,3.71,0,47,0.08,0.06000000000000001
1696,13,511,221,1.79,0,19,0.08,-0.06000000000000001
1688,15,560,212,2.13,0,16,-0.26,0.040000000000000015
1724,15,496,188,2.83,0,23,-0.039999999999999994,0.04
1663,10,513,257,1.48,0,12,0.07999999999999999,-0.16000000000000003
1716,15,519,199,2.14,0,21,0.08,0.09999999999999999
1680,14,505,274,1.77,0,22,-0.019999999999999997,-0.13999999999999999
1710,13,551,248,2.81,0,20,-0.06000000000000001,-0.04000000000000001
1647,12,574,221,1.94,0,18,-0.08,0.04
1707,9,470,234,1.9,0,19,0.14,0.06
1680,20,545,245,2.83,0,22,0.13999999999999999,-0.039999999999999994
1674,18,521,221,2.05,0,21,-0.22000000000000003,-0.04
1666,10,524,231,2.49,0,19,-0.18,-0.04
1659,19,496,239,2.27,0,20,-0.020000000000000007,0.040000000000000015
1732,20,475,245,2.23,0,20,0.1,-0.14
