,rvf,d_oldage,hsize_mean,d_rvf,d_cbpp,hsize_min,cbpp,d_health,hsize_max,beta
0,-0.019591836734693883,1702.6122448979593,2.2644897959183674,513.2244897959183,231.3265306122449,0.0,-0.003673469387755103,15.673469387755102,20.428571428571427,0.0
5,0.1473469387755102,1737.3061224489795,2.411632653061224,500.9183673469388,190.91836734693877,0.0,0.22897959183673475,15.795918367346939,21.551020408163264,0.1
6,0.5346938775510205,1784.0816326530612,3.0212244897959177,492.9795918367347,135.3469387755102,0.0,0.6546938775510204,15.816326530612244,24.653061224489797,0.2
1,0.9530612244897958,1818.2857142857142,3.383265306122449,479.8979591836735,101.0,0.0,0.9795918367346939,17.26530612244898,26.79591836734694,0.5
2,0.9873469387755102,1824.0408163265306,3.4224489795918367,481.0816326530612,99.89795918367346,0.0,0.9955102040816325,17.448979591836736,26.346938775510203,1.0
3,0.9930612244897958,1824.6938775510205,3.3842857142857143,480.3469387755102,99.16326530612245,0.0,0.9979591836734694,17.3265306122449,25.06122448979592,2.5
4,0.9946938775510205,1824.469387755102,3.3842857142857143,479.9387755102041,99.20408163265306,0.0,0.9987755102040816,17.428571428571427,25.224489795918366,5.0
