d_oldage,d_health,d_rvf,d_cbpp,hsize_mean,hsize_min,hsize_max,rvf,cbpp
1774,20,490,156,2.93,0,36,0.34,0.32
1725,13,474,188,1.51,0,11,-0.04,0.08000000000000003
1706,12,473,251,2.17,0,14,0.13999999999999999,0.020000000000000007
1676,8,514,188,1.66,0,13,-0.02,-0.04
1788,15,473,208,3.32,0,18,0.12,0.1
1776,22,505,206,3.08,0,43,0.08,0.24
1777,21,521,146,3.07,0,32,0.2,0.4
1770,19,490,203,2.73,0,23,0.33999999999999997,0.30000000000000004
1808,22,487,136,3.41,0,28,0.04,0.52
1779,23,525,136,3.54,0,21,0.0,0.5199999999999999
1742,12,492,200,2.83,0,25,-0.020000000000000007,0.1
1810,20,476,185,3.63,0,27,0.18000000000000002,0.32
1760,15,498,165,2.59,0,24,0.25999999999999995,0.3
1735,19,514,183,2.68,0,22,-0.32000000000000006,0.36
1725,12,517,214,2.1,0,20,0.02,-1.1102230246251566e-17
1734,15,538,156,2.27,0,19,-1.1102230246251566e-17,0.36
1740,18,509,194,2.53,0,17,0.4999999999999999,0.4600000000000001
1720,6,516,165,2.52,0,16,0.18,0.2
1678,7,458,172,1.88,0,17,0.38,0.13999999999999999
1720,11,517,161,1.86,0,15,-0.26,0.27999999999999997
1761,18,501,185,2.18,0,30,-0.2,0.32000000000000006
1778,22,495,152,3.43,0,29,0.26,0.36
1734,21,497,236,2.04,0,14,0.36,0.04000000000000001
1694,17,506,249,2.44,0,17,-0.02,0.020000000000000007
1747,19,517,150,2.44,0,25,0.18000000000000002,0.4600000000000001
1715,13,458,242,2.32,0,23,0.44000000000000006,0.08000000000000002
1691,19,546,272,2.31,0,20,-0.13999999999999999,-0.039999999999999994
1777,14,521,185,2.65,0,27,0.06000000000000001,0.16
1769,15,488,175,2.33,0,20,0.06000000000000003,0.28
1775,22,515,160,2.67,0,28,0.09999999999999999,0.36000000000000004
1750,12,506,168,2.1,0,28,0.12000000000000002,0.32
1732,16,468,198,1.99,0,20,0.44000000000000006,0.06000000000000001
1740,16,503,141,2.25,0,20,0.5000000000000001,0.44000000000000006
1719,14,488,168,1.93,0,22,0.22000000000000003,0.42000000000000004
1732,12,508,264,2.58,0,21,0.12,-0.13999999999999999
1703,6,493,206,2.02,0,20,0.12000000000000002,0.18000000000000002
1770,13,509,153,2.31,0,19,0.26000000000000006,0.38
1725,11,484,219,2.11,0,17,0.27999999999999997,0.28
1686,14,517,220,2.13,0,23,-0.06000000000000001,0.13999999999999996
1696,10,533,173,2.23,0,22,0.1,0.26
1739,26,500,200,2.01,0,16,0.18,0.10000000000000002
1760,21,538,152,2.8,0,19,0.36,0.48
1681,21,550,187,1.85,0,19,-0.040000000000000015,0.22000000000000003
1728,12,463,210,2.49,0,20,0.24,0.22000000000000006
1778,20,495,178,3.18,0,26,0.5399999999999999,0.26
1709,12,485,218,1.89,0,16,0.3,0.20000000000000004
1685,15,468,274,1.83,0,21,0.14,-5.551115123125783e-18
1696,13,485,210,1.97,0,22,0.26000000000000006,0.22000000000000003
1715,20,521,197,1.38,0,11,-0.08,0.15999999999999998
