d_oldage,d_health,d_rvf,d_cbpp,hsize_mean,hsize_min,hsize_max,rvf,cbpp
1812,26,477,102,3.04,0,21,1.0,1.0
1788,12,460,111,2.48,0,21,0.9800000000000001,1.0
1817,15,468,102,3.61,0,26,1.0,1.0
1763,11,514,97,2.81,0,21,0.6599999999999999,0.9800000000000001
1846,26,460,93,3.24,0,25,1.0,0.9800000000000001
1835,13,457,103,3.01,0,23,0.9199999999999999,0.96
1840,13,514,103,3.63,0,25,1.0,1.0
1826,16,482,103,3.22,0,31,0.9800000000000001,0.9800000000000001
1832,12,463,103,3.96,0,27,0.9800000000000001,0.9800000000000001
1826,24,486,96,3.43,0,24,0.96,1.0
1840,15,454,87,4.18,0,25,0.9800000000000001,1.0
1868,16,485,98,4.1,0,22,0.96,1.0
1806,16,485,110,3.79,0,33,0.96,0.9800000000000001
1827,28,478,108,3.08,0,19,0.9400000000000001,0.9800000000000001
1841,20,462,98,4.26,0,26,0.9400000000000001,1.0
1794,12,448,103,2.77,0,27,0.9800000000000001,1.0
1827,24,496,89,3.22,0,23,0.9800000000000001,1.0
1838,18,477,93,4.27,0,38,1.0,1.0
1772,23,468,82,3.14,0,30,1.0,0.9800000000000001
1810,10,459,83,2.55,0,28,0.9800000000000001,1.0
1849,21,498,112,3.81,0,25,1.0,1.0
1847,16,509,87,4.14,0,26,1.0,1.0
1868,22,493,101,4.66,0,28,0.9400000000000001,1.0
1822,18,473,83,4.01,0,27,0.9,0.9800000000000001
1788,11,457,92,3.15,0,32,1.0,0.9800000000000001
1835,16,451,86,3.24,0,28,0.96,0.9800000000000001
1811,22,499,173,3.23,0,28,0.9400000000000001,0.64
1865,13,462,105,3.65,0,28,0.9199999999999999,0.9400000000000001
1791,21,476,116,3.17,0,30,0.9400000000000001,0.9800000000000001
1841,17,478,96,3.7,0,22,0.9800000000000001,0.9800000000000001
1854,17,474,98,4.03,0,30,1.0,1.0
1788,17,475,94,2.54,0,26,1.0,1.0
1781,13,497,103,3.09,0,26,0.9800000000000001,1.0
1839,16,470,74,2.87,0,25,1.0,0.9800000000000001
1816,16,495,118,2.92,0,17,0.9800000000000001,1.0
1797,16,473,96,2.81,0,24,0.9199999999999999,1.0
1815,26,482,108,3.07,0,27,1.0,0.96
1791,17,469,98,2.96,0,42,0.96,1.0
1804,14,485,91,3.69,0,23,0.74,0.9800000000000001
1779,14,525,105,2.84,0,21,0.6799999999999999,1.0
1817,17,478,111,3.16,0,40,0.9800000000000001,1.0
1802,15,499,111,3.57,0,23,0.96,0.9199999999999999
1803,23,513,101,3.13,0,21,1.0,0.9800000000000001
1846,14,461,87,3.41,0,32,0.9800000000000001,0.9800000000000001
1834,17,508,113,4.14,0,39,0.9400000000000001,1.0
1818,20,477,98,3.44,0,28,0.96,1.0
1822,16,475,108,3.51,0,22,0.9800000000000001,1.0
1761,18,483,103,2.75,0,34,1.0,0.96
1804,13,487,117,3.3,0,24,0.86,0.9400000000000001
