d_oldage,d_health,d_rvf,d_cbpp,hsize_mean,hsize_min,hsize_max,rvf,cbpp
1778,19,483,180,2.75,0,25,0.31999999999999995,0.14
1653,22,563,269,0.61,0,10,-0.6799999999999999,-0.5
1677,7,464,333,1.42,0,24,0.18,-0.43999999999999995
1662,20,541,256,0.89,0,11,-0.66,-0.4
1823,17,471,161,3.03,0,25,0.38,0.32
1776,19,481,184,3.15,0,31,0.36000000000000004,0.42000000000000004
1747,9,555,186,2.28,0,24,-0.5800000000000001,0.16000000000000003
1762,14,501,220,2.3,0,26,0.45999999999999996,0.06000000000000001
1753,17,542,148,2.25,0,18,-0.5599999999999999,0.42000000000000004
1793,14,503,169,3.24,0,21,2.2204460492503132e-17,0.32
1762,13,495,158,2.98,0,22,0.41999999999999993,0.33999999999999997
1722,17,505,305,1.61,0,17,-0.36,-0.33999999999999997
1645,14,468,373,1.19,0,13,0.4,-0.72
1644,11,646,200,1.15,0,12,-0.8400000000000001,0.019999999999999973
1788,26,511,216,3.12,0,28,0.24,-0.020000000000000007
1705,13,515,222,1.35,0,14,0.020000000000000018,0.08000000000000002
1683,19,575,299,1.21,0,8,-0.52,-0.44000000000000006
1736,15,473,166,2.54,0,17,0.4800000000000001,0.32
1652,11,505,182,1.68,0,21,-0.34,0.24
1723,11,533,139,2.16,0,25,-0.6,0.34
1766,10,525,155,2.64,0,17,0.4,0.5
1752,14,563,182,2.48,0,15,-0.24,0.07999999999999999
1731,15,518,280,1.5,0,16,-0.32,-0.3
1719,13,499,227,2.31,0,23,-0.03999999999999998,0.16
1692,9,492,180,0.94,0,15,-0.32,0.22000000000000003
1788,21,477,152,2.48,0,19,0.13999999999999999,0.4
1690,13,546,339,0.99,0,11,-0.5,-0.6799999999999999
1729,16,624,179,1.84,0,17,-0.78,0.08000000000000002
1758,10,503,202,2.65,0,21,-0.32,0.26
1781,14,503,218,2.77,0,25,0.4,-0.12000000000000002
1821,19,510,129,3.08,0,30,-0.18,0.5599999999999999
1712,19,473,263,1.38,0,14,0.6,-0.45999999999999996
1665,12,528,272,0.8,0,16,-0.22000000000000003,-0.36
1724,20,475,174,2.0,0,18,0.5200000000000001,0.4
1778,15,567,164,3.32,0,25,-0.28,0.38
1740,11,496,157,2.35,0,22,0.38,0.34
1767,15,559,177,1.81,0,19,-0.5599999999999999,0.26
1701,15,521,213,2.1,0,17,-0.3,0.08
1724,11,509,176,1.94,0,18,-0.41999999999999993,0.34
1701,10,645,153,2.3,0,19,-0.9,0.24000000000000005
1770,17,484,157,2.53,0,19,0.31999999999999995,0.4
1736,11,504,257,2.24,0,24,0.44000000000000006,-0.16
1735,11,545,139,2.91,0,20,-0.44000000000000006,0.5000000000000001
1707,16,478,259,1.62,0,13,0.33999999999999997,-0.19999999999999998
1706,15,499,341,1.32,0,11,0.020000000000000007,-0.4
1789,17,494,140,3.03,0,21,0.36,0.48
1773,25,477,152,3.68,0,34,0.2,0.44000000000000006
1744,20,484,166,2.39,0,22,0.12000000000000002,0.4
1751,11,566,151,2.56,0,22,-0.5,0.48
1801,22,494,157,2.62,0,19,0.36,0.4600000000000001
