ID,mean
ID798,7.0
ID741,7.0
ID855,7.0
ID912,7.0
ID969,7.0
ID1083,5.752941176470588
ID1140,5.0
ID1026,7.0
ID970,7.0
ID1027,7.0
ID971,7.0
ID972,7.0
ID1028,7.0
ID1029,7.0
ID1085,5.752941176470588
ID1086,6.141176470588235
ID1084,5.752941176470588
ID1141,5.0
ID1142,5.0
ID1143,5.623529411764705
ID1087,6.376470588235295
ID1144,6.0
ID1145,6.0
ID1088,6.376470588235295
ID1031,7.0
ID1030,7.0
ID973,7.0
ID974,7.0
ID917,7.0
ID916,7.0
ID860,7.0
ID859,7.0
ID915,7.0
ID858,7.0
ID914,7.0
ID913,7.0
ID856,7.0
ID857,7.0
ID800,7.0
ID801,7.235294117647059
ID799,7.0
ID742,7.0
ID743,7.0
ID744,7.623529411764705
ID745,8.0
ID802,7.376470588235294
ID803,7.376470588235294
ID746,8.0
ID687,7.623529411764705
ID688,8.0
ID689,8.0
ID632,8.0
ID631,8.0
ID575,8.0
ID574,8.0
ID630,7.623529411764705
ID573,7.623529411764705
ID686,7.0
ID629,7.0
ID685,7.0
ID628,7.0
ID572,7.0
ID571,7.0
ID570,7.0
ID627,7.0
ID684,7.0
ID513,7.752941176470588
ID456,9.0
ID399,9.0
ID400,9.0
ID401,9.0
ID402,9.0
ID457,9.0
ID458,9.0
ID459,9.0
ID514,7.752941176470588
ID515,7.752941176470588
ID516,8.141176470588235
ID460,9.0
ID517,8.376470588235295
ID518,8.376470588235295
ID461,9.0
ID404,9.0
ID403,9.0
ID345,9.0
ID346,9.0
ID347,9.0
ID405,9.0
ID348,9.0
ID462,9.0
ID406,9.0
ID463,9.0
ID349,9.0
ID407,9.0
ID350,9.0
ID408,9.0
ID351,9.0
ID352,9.0
ID409,9.0
ID465,9.0
ID466,9.0
ID464,9.0
ID521,8.376470588235295
ID520,8.376470588235295
ID522,8.376470588235295
ID523,8.376470588235295
ID579,8.0
ID580,8.0
ID578,8.0
ID577,8.0
ID576,8.0
ID519,8.376470588235295
ID633,8.0
ID634,8.0
ID691,8.0
ID690,8.0
ID747,8.0
ID748,8.0
ID692,8.0
ID693,8.0
ID749,8.0
ID750,8.0
ID751,8.0
ID694,8.0
ID637,8.0
ID636,8.0
ID635,8.0
ID581,8.0
ID638,8.0
ID582,8.623529411764705
ID639,8.623529411764705
ID696,8.623529411764705
ID695,8.0
ID752,8.0
ID753,8.623529411764707
ID697,9.0
ID754,9.0
ID698,9.0
ID755,9.0
ID756,9.0
ID699,9.0
ID642,9.0
ID641,9.0
ID640,9.0
ID583,9.0
ID584,9.0
ID585,9.0
ID528,9.0
ID527,9.0
ID526,9.0
ID470,9.0
ID471,9.0
ID469,9.0
ID468,9.0
ID525,8.764705882352942
ID524,8.376470588235295
ID467,9.0
ID411,9.0
ID410,9.0
ID353,9.0
ID354,9.0
ID412,9.0
ID355,9.0
ID413,9.0
ID414,9.0
ID356,9.0
ID357,9.0
ID415,9.0
ID358,9.0
ID416,9.0
ID359,9.0
ID472,9.0
ID473,9.0
ID529,9.0
ID586,9.0
ID530,8.611764705882353
ID587,8.376470588235295
ID474,9.0
ID531,8.376470588235295
ID588,8.0
ID532,8.376470588235295
ID589,8.0
ID475,9.0
ID418,9.0
ID417,9.0
ID360,9.0
ID361,9.0
ID362,9.0
ID419,9.0
ID363,9.0
ID420,9.0
ID476,9.0
ID477,9.0
ID478,9.0
ID421,9.0
ID364,9.0
ID422,9.0
ID365,9.0
ID423,9.0
ID366,9.0
ID479,9.0
ID480,9.0
ID535,8.376470588235295
ID536,8.376470588235295
ID537,8.376470588235295
ID594,8.0
ID593,8.0
ID592,8.0
ID591,8.0
ID534,8.376470588235295
ID533,8.376470588235295
ID590,8.0
ID647,8.0
ID648,8.0
ID646,8.0
ID649,8.0
ID650,8.0
ID651,8.0
ID706,8.0
ID707,8.0
ID708,8.0
ID764,8.0
ID765,8.0
ID763,8.0
ID762,8.0
ID705,8.0
ID704,8.0
ID703,8.0
ID761,8.0
ID760,8.0
ID759,8.0
ID702,8.0
ID758,8.376470588235295
ID701,8.376470588235295
ID644,8.376470588235295
ID645,8.0
ID643,9.0
ID700,9.0
ID757,9.0
ID813,8.376470588235295
ID814,8.376470588235295
ID815,8.141176470588235
ID871,8.0
ID872,8.0
ID870,8.0
ID927,8.0
ID928,8.0
ID984,8.0
ID985,8.0
ID929,8.0
ID986,8.0
ID873,8.0
ID930,8.0
ID987,8.0
ID931,8.0
ID988,8.0
ID874,8.0
ID817,8.0
ID816,8.0
ID818,8.0
ID819,7.611764705882353
ID875,8.0
ID876,7.376470588235294
ID877,7.0
ID820,7.376470588235294
ID821,7.376470588235294
ID822,7.376470588235294
ID879,7.0
ID878,7.0
ID934,7.0
ID935,7.0
ID936,7.0
ID993,7.0
ID992,7.0
ID991,7.0
ID990,7.376470588235294
ID933,7.376470588235294
ID932,8.0
ID989,8.0
ID1045,8.0
ID1046,8.0
ID1047,7.376470588235294
ID1048,7.0
ID1049,7.0
ID1050,7.0
ID1105,7.0
ID1106,7.0
ID1107,7.0
ID1163,7.0
ID1164,7.0
ID1162,7.0
ID1161,7.376470588235294
ID1104,7.376470588235294
ID1103,8.0
ID1102,8.0
ID1159,8.0
ID1160,8.0
ID1158,8.0
ID1101,8.0
ID1157,8.0
ID1100,8.0
ID1043,8.0
ID1044,8.0
ID1042,8.0
ID1041,8.0
ID1098,8.0
ID1099,8.0
ID1156,8.0
ID1155,8.0
ID1154,8.0
ID1153,8.0
ID1097,8.0
ID1096,8.0
ID1040,8.0
ID1039,8.0
ID1095,7.76470588235294
ID1038,8.0
ID1152,7.623529411764705
ID1151,7.0
ID1094,7.376470588235294
ID1150,7.0
ID1093,7.376470588235294
ID1036,8.0
ID1037,8.0
ID980,8.0
ID979,8.0
ID981,8.0
ID982,8.0
ID983,8.0
ID926,8.0
ID925,8.0
ID924,8.0
ID868,8.0
ID867,8.0
ID869,8.0
ID812,8.376470588235295
ID811,8.376470588235295
ID810,8.235294117647058
ID866,8.0
ID809,8.0
ID808,8.0
ID865,8.0
ID922,8.0
ID923,8.0
ID978,8.0
ID921,8.0
ID977,7.623529411764705
ID920,7.623529411764705
ID976,7.0
ID919,7.0
ID864,8.0
ID863,7.623529411764705
ID862,7.0
ID807,8.0
ID806,7.76470588235294
ID805,7.376470588235294
ID861,7.0
ID804,7.376470588235294
ID918,7.0
ID975,7.0
ID1032,7.0
ID1089,6.376470588235295
ID1033,7.0
ID1090,6.376470588235295
ID1034,7.623529411764705
ID1035,8.0
ID1091,7.0
ID1092,7.376470588235294
ID1149,7.0
ID1148,6.623529411764705
ID1147,6.0
ID1146,6.0
ID1202,6.0
ID1203,6.0
ID1259,6.0
ID1260,6.0
ID1204,6.0
ID1261,6.0
ID1205,6.623529411764705
ID1206,7.0
ID1207,7.0
ID1263,7.0
ID1264,7.0
ID1262,6.623529411764705
ID1318,5.376470588235295
ID1319,6.0
ID1320,6.376470588235295
ID1321,6.376470588235295
ID1377,6.0
ID1378,6.0
ID1376,5.623529411764705
ID1375,5.0
ID1317,5.376470588235295
ID1374,5.0
ID1316,5.376470588235295
ID1373,5.0
ID1430,5.0
ID1431,5.0
ID1432,5.0
ID1487,5.0
ID1488,5.0
ID1544,5.0
ID1545,5.0
ID1489,5.0
ID1546,5.0
ID1433,5.623529411764705
ID1490,5.623529411764705
ID1434,6.0
ID1491,6.0
ID1547,5.623529411764705
ID1548,6.0
ID1549,6.0
ID1492,6.0
ID1435,6.0
ID1379,6.0
ID1436,6.0
ID1380,6.623529411764705
ID1437,6.623529411764705
ID1493,6.0
ID1550,6.0
ID1494,6.623529411764705
ID1551,6.623529411764705
ID1495,7.0
ID1438,7.0
ID1552,7.0
ID1496,7.0
ID1553,7.0
ID1554,7.0
ID1497,7.0
ID1439,7.0
ID1440,7.0
ID1383,7.0
ID1382,7.0
ID1381,7.0
ID1326,7.376470588235294
ID1325,7.376470588235294
ID1324,7.376470588235294
ID1268,8.0
ID1269,8.0
ID1267,8.0
ID1266,7.623529411764705
ID1323,7.0
ID1322,6.376470588235295
ID1265,7.0
ID1209,7.623529411764705
ID1208,7.0
ID1210,8.0
ID1211,8.0
ID1212,8.0
ID1213,8.0
ID1214,8.0
ID1270,8.0
ID1271,8.0
ID1327,7.376470588235294
ID1384,7.0
ID1328,7.376470588235294
ID1385,7.0
ID1272,8.0
ID1329,7.376470588235294
ID1386,7.0
ID1330,7.376470588235294
ID1387,7.0
ID1273,8.0
ID1216,8.0
ID1215,8.0
ID1218,7.376470588235294
ID1217,8.0
ID1274,8.0
