ID,mean
ID798,54.0
ID741,54.0
ID855,54.0
ID912,54.0
ID969,54.0
ID1083,50.88235294117647
ID1140,49.0
ID1026,54.0
ID970,54.0
ID1027,54.0
ID971,54.0
ID972,55.87058823529412
ID1028,54.0
ID1029,55.87058823529412
ID1085,50.88235294117647
ID1086,53.917647058823526
ID1084,50.88235294117647
ID1141,49.0
ID1142,49.0
ID1143,52.741176470588236
ID1087,55.75294117647059
ID1144,55.0
ID1145,55.0
ID1088,55.75294117647059
ID1031,57.0
ID1030,57.0
ID973,57.0
ID974,57.0
ID917,57.0
ID916,57.0
ID860,57.0
ID859,57.0
ID915,55.87058823529412
ID858,55.87058823529412
ID914,54.0
ID913,54.0
ID856,54.0
ID857,54.0
ID800,54.0
ID801,55.87058823529412
ID799,54.0
ID742,54.0
ID743,54.0
ID744,55.87058823529412
ID745,57.0
ID802,57.0
ID803,57.0
ID746,57.0
ID687,55.87058823529412
ID688,57.0
ID689,57.0
ID632,57.0
ID631,57.0
ID575,57.0
ID574,57.0
ID630,55.87058823529412
ID573,55.87058823529412
ID686,54.0
ID629,54.0
ID685,54.0
ID628,54.0
ID572,54.0
ID571,54.0
ID570,54.0
ID627,54.0
ID684,54.0
ID513,54.0
ID456,54.0
ID399,54.0
ID400,54.0
ID401,54.0
ID402,55.87058823529412
ID457,54.0
ID458,54.0
ID459,55.87058823529412
ID514,54.0
ID515,54.0
ID516,55.87058823529412
ID460,57.0
ID517,57.0
ID518,57.0
ID461,57.0
ID404,57.0
ID403,57.0
ID345,55.87058823529412
ID346,57.0
ID347,57.0
ID405,57.0
ID348,57.0
ID462,57.0
ID406,57.0
ID463,57.0
ID349,57.0
ID407,57.0
ID350,57.0
ID408,57.0
ID351,57.0
ID352,57.0
ID409,57.0
ID465,57.0
ID466,57.0
ID464,57.0
ID521,57.0
ID520,57.0
ID522,57.0
ID523,57.0
ID579,57.0
ID580,57.0
ID578,57.0
ID577,57.0
ID576,57.0
ID519,57.0
ID633,57.0
ID634,57.0
ID691,57.0
ID690,57.0
ID747,57.0
ID748,57.0
ID692,57.0
ID693,57.0
ID749,57.0
ID750,57.0
ID751,57.0
ID694,57.0
ID637,57.0
ID636,57.0
ID635,57.0
ID581,57.0
ID638,57.0
ID582,53.25882352941177
ID639,53.25882352941177
ID696,53.25882352941177
ID695,57.0
ID752,57.0
ID753,53.258823529411764
ID697,51.0
ID754,51.0
ID698,51.0
ID755,51.0
ID756,51.0
ID699,51.0
ID642,51.0
ID641,51.0
ID640,51.0
ID583,51.0
ID584,51.0
ID585,51.0
ID528,51.752941176470586
ID527,51.752941176470586
ID526,51.752941176470586
ID470,53.0
ID471,53.0
ID469,53.0
ID468,54.50588235294118
ID525,53.72941176470589
ID524,57.0
ID467,57.0
ID411,54.50588235294118
ID410,57.0
ID353,57.0
ID354,54.50588235294118
ID412,53.0
ID355,53.0
ID413,53.0
ID414,53.0
ID356,53.0
ID357,53.0
ID415,53.0
ID358,53.0
ID416,48.63529411764706
ID359,48.63529411764706
ID472,53.0
ID473,48.63529411764706
ID529,51.752941176470586
ID586,51.0
ID530,48.55294117647058
ID587,48.50588235294117
ID474,46.0
ID531,46.62352941176471
ID588,47.0
ID532,46.62352941176471
ID589,47.0
ID475,46.0
ID418,46.0
ID417,46.0
ID360,46.0
ID361,46.0
ID362,46.0
ID419,46.0
ID363,46.0
ID420,46.0
ID476,46.0
ID477,46.0
ID478,46.0
ID421,46.0
ID364,46.0
ID422,46.0
ID365,46.0
ID423,46.0
ID366,46.0
ID479,46.0
ID480,46.0
ID535,46.0
ID536,46.0
ID537,46.0
ID594,46.0
ID593,46.0
ID592,46.0
ID591,46.37647058823529
ID534,46.23529411764706
ID533,46.62352941176471
ID590,47.0
ID647,47.0
ID648,46.37647058823529
ID646,47.0
ID649,46.0
ID650,46.0
ID651,46.0
ID706,46.0
ID707,46.0
ID708,46.0
ID764,46.0
ID765,46.0
ID763,46.0
ID762,46.37647058823529
ID705,46.37647058823529
ID704,47.0
ID703,47.0
ID761,47.0
ID760,47.0
ID759,47.0
ID702,47.0
ID758,48.50588235294117
ID701,48.50588235294117
ID644,48.50588235294117
ID645,47.0
ID643,51.0
ID700,51.0
ID757,51.0
ID813,51.62352941176471
ID814,51.62352941176471
ID815,49.51764705882353
ID871,52.0
ID872,50.12941176470588
ID870,52.0
ID927,52.0
ID928,52.0
ID984,52.0
ID985,52.0
ID929,50.12941176470588
ID986,50.12941176470588
ID873,49.0
ID930,49.0
ID987,49.0
ID931,49.0
ID988,49.0
ID874,49.0
ID817,48.247058823529414
ID816,48.247058823529414
ID818,48.247058823529414
ID819,47.62352941176471
ID875,49.0
ID876,48.37647058823529
ID877,48.0
ID820,47.247058823529414
ID821,47.247058823529414
ID822,47.247058823529414
ID879,48.0
ID878,48.0
ID934,48.0
ID935,48.0
ID936,48.0
ID993,48.0
ID992,48.0
ID991,48.0
ID990,48.37647058823529
ID933,48.37647058823529
ID932,49.0
ID989,49.0
ID1045,49.0
ID1046,49.0
ID1047,48.37647058823529
ID1048,48.0
ID1049,48.0
ID1050,48.0
ID1105,48.0
ID1106,48.0
ID1107,48.0
ID1163,48.0
ID1164,48.0
ID1162,48.0
ID1161,49.50588235294117
ID1104,49.08235294117647
ID1103,50.870588235294115
ID1102,50.870588235294115
ID1159,52.0
ID1160,52.0
ID1158,52.0
ID1101,50.870588235294115
ID1157,52.0
ID1100,51.294117647058826
ID1043,50.12941176470588
ID1044,49.0
ID1042,52.0
ID1041,52.0
ID1098,52.0
ID1099,52.0
ID1156,52.0
ID1155,52.0
ID1154,52.0
ID1153,52.0
ID1097,52.0
ID1096,52.0
ID1040,52.0
ID1039,52.0
ID1095,54.023529411764706
ID1038,54.258823529411764
ID1152,53.88235294117647
ID1151,57.0
ID1094,57.37647058823529
ID1150,57.0
ID1093,57.37647058823529
ID1036,58.0
ID1037,58.0
ID980,58.0
ID979,58.0
ID981,54.258823529411764
ID982,52.0
ID983,52.0
ID926,52.0
ID925,52.0
ID924,54.258823529411764
ID868,52.0
ID867,54.258823529411764
ID869,52.0
ID812,51.62352941176471
ID811,51.62352941176471
ID810,53.88235294117647
ID866,58.0
ID809,57.62352941176471
ID808,57.62352941176471
ID865,58.0
ID922,58.0
ID923,58.0
ID978,58.0
ID921,58.0
ID977,57.62352941176471
ID920,57.62352941176471
ID976,57.0
ID919,57.0
ID864,58.0
ID863,57.62352941176471
ID862,57.0
ID807,57.62352941176471
ID806,57.38823529411765
ID805,57.0
ID861,57.0
ID804,57.0
ID918,57.0
ID975,57.0
ID1032,57.0
ID1089,55.75294117647059
ID1033,57.0
ID1090,55.75294117647059
ID1034,57.62352941176471
ID1035,58.0
ID1091,56.76470588235294
ID1092,57.37647058823529
ID1149,57.0
ID1148,56.247058823529414
ID1147,55.0
ID1146,55.0
ID1202,55.0
ID1203,55.0
ID1259,55.0
ID1260,55.0
ID1204,55.0
ID1261,55.0
ID1205,56.247058823529414
ID1206,57.0
ID1207,57.0
ID1263,57.0
ID1264,57.0
ID1262,56.247058823529414
ID1318,54.37647058823529
ID1319,55.62352941176471
ID1320,56.3764705882353
ID1321,56.3764705882353
ID1377,56.0
ID1378,56.0
ID1376,55.24705882352941
ID1375,54.0
ID1317,54.37647058823529
ID1374,54.0
ID1316,54.37647058823529
ID1373,54.0
ID1430,54.0
ID1431,54.0
ID1432,54.0
ID1487,54.0
ID1488,54.0
ID1544,54.0
ID1545,54.0
ID1489,54.0
ID1546,54.0
ID1433,55.24705882352941
ID1490,55.24705882352941
ID1434,56.0
ID1491,56.0
ID1547,55.24705882352941
ID1548,56.0
ID1549,56.0
ID1492,56.0
ID1435,56.0
ID1379,56.0
ID1436,56.0
ID1380,54.12941176470588
ID1437,54.12941176470588
ID1493,56.0
ID1550,56.0
ID1494,54.12941176470588
ID1551,54.12941176470588
ID1495,53.0
ID1438,53.0
ID1552,53.0
ID1496,53.0
ID1553,53.0
ID1554,53.0
ID1497,53.0
ID1439,53.0
ID1440,53.0
ID1383,53.0
ID1382,53.0
ID1381,53.0
ID1326,52.62352941176471
ID1325,52.62352941176471
ID1324,52.62352941176471
ID1268,52.0
ID1269,52.0
ID1267,52.0
ID1266,53.88235294117647
ID1323,54.035294117647055
ID1322,56.3764705882353
ID1265,57.0
ID1209,53.88235294117647
ID1208,57.0
ID1210,52.0
