ID,mean
ID798,7.376470588235294
ID741,8.0
ID855,7.0
ID912,7.0
ID969,7.0
ID1083,6.376470588235295
ID1140,6.0
ID1026,7.0
ID970,7.0
ID1027,7.0
ID971,7.0
ID972,7.0
ID1028,7.0
ID1029,7.0
ID1085,6.376470588235295
ID1086,6.764705882352941
ID1084,6.376470588235295
ID1141,6.0
ID1142,6.0
ID1143,6.623529411764705
ID1087,7.0
ID1144,7.0
ID1145,7.0
ID1088,7.0
ID1031,7.0
ID1030,7.0
ID973,7.0
ID974,7.0
ID917,7.0
ID916,7.0
ID860,7.0
ID859,7.0
ID915,7.0
ID858,7.0
ID914,7.0
ID913,7.0
ID856,7.0
ID857,7.0
ID800,7.376470588235294
ID801,7.376470588235294
ID799,7.376470588235294
ID742,8.0
ID743,8.0
ID744,8.0
ID745,8.0
ID802,7.376470588235294
ID803,7.376470588235294
ID746,8.0
ID687,8.0
ID688,8.0
ID689,8.0
ID632,8.0
ID631,8.0
ID575,8.0
ID574,8.0
ID630,8.0
ID573,8.0
ID686,8.0
ID629,8.0
ID685,8.0
ID628,8.0
ID572,8.0
ID571,8.0
ID570,8.0
ID627,8.0
ID684,8.0
ID513,8.0
ID456,8.0
ID399,8.0
ID400,8.0
ID401,8.0
ID402,8.623529411764705
ID457,8.0
ID458,8.0
ID459,8.623529411764705
ID514,8.0
ID515,8.0
ID516,8.235294117647058
ID460,9.0
ID517,8.376470588235295
ID518,8.376470588235295
ID461,9.0
ID404,9.0
ID403,9.0
ID345,8.623529411764705
ID346,9.0
ID347,9.0
ID405,9.0
ID348,9.0
ID462,9.0
ID406,9.0
ID463,9.0
ID349,9.0
ID407,9.0
ID350,9.0
ID408,9.0
ID351,9.0
ID352,9.0
ID409,9.0
ID465,9.0
ID466,9.0
ID464,9.0
ID521,8.376470588235295
ID520,8.376470588235295
ID522,8.376470588235295
ID523,8.376470588235295
ID579,8.0
ID580,8.0
ID578,8.0
ID577,8.0
ID576,8.0
ID519,8.376470588235295
ID633,8.0
ID634,8.0
ID691,8.0
ID690,8.0
ID747,8.0
ID748,8.0
ID692,8.0
ID693,8.0
ID749,8.0
ID750,8.0
ID751,8.0
ID694,8.0
ID637,8.0
ID636,8.0
ID635,8.0
ID581,8.0
