ID,mean
ID798,37.62352941176471
ID741,37.0
ID855,38.0
ID912,38.0
ID969,38.0
ID1083,33.63529411764706
ID1140,31.0
ID1026,38.0
ID970,38.0
ID1027,38.0
ID971,38.0
ID972,38.0
ID1028,38.0
ID1029,38.0
ID1085,33.63529411764706
ID1086,36.35294117647059
ID1084,33.63529411764706
ID1141,31.0
ID1142,31.0
ID1143,35.364705882352936
ID1087,38.0
ID1144,38.0
ID1145,38.0
ID1088,38.0
ID1031,38.0
ID1030,38.0
ID973,38.0
ID974,38.0
ID917,38.0
ID916,38.0
ID860,38.0
ID859,38.0
ID915,38.0
ID858,38.0
ID914,38.0
ID913,38.0
ID856,38.0
ID857,38.0
ID800,37.62352941176471
ID801,38.09411764705882
ID799,37.62352941176471
ID742,37.0
ID743,37.0
ID744,38.24705882352941
ID745,39.0
ID802,38.37647058823529
ID803,38.37647058823529
ID746,39.0
ID687,38.24705882352941
ID688,39.0
ID689,39.0
ID632,39.0
ID631,39.0
ID575,39.0
ID574,39.0
ID630,38.24705882352941
ID573,38.24705882352941
ID686,37.0
ID629,37.0
ID685,37.0
ID628,37.0
ID572,37.0
ID571,37.0
ID570,37.0
ID627,37.0
ID684,37.0
ID513,38.129411764705885
ID456,40.0
ID399,40.0
ID400,40.0
ID401,40.0
ID402,41.87058823529412
ID457,40.0
ID458,40.0
ID459,41.87058823529412
ID514,38.129411764705885
ID515,38.129411764705885
ID516,39.61176470588235
ID460,43.0
ID517,40.50588235294117
ID518,40.50588235294117
ID461,43.0
ID404,43.0
ID403,43.0
ID345,41.87058823529412
ID346,43.0
ID347,43.0
ID405,43.0
ID348,43.0
ID462,43.0
ID406,43.0
ID463,43.0
ID349,43.0
ID407,43.62352941176471
ID350,43.62352941176471
ID408,44.0
ID351,44.0
ID352,44.0
ID409,44.0
ID465,44.0
ID466,44.0
ID464,43.62352941176471
ID521,42.294117647058826
ID520,40.50588235294117
ID522,43.37647058823529
ID523,43.37647058823529
ID579,43.0
ID580,43.0
ID578,41.49411764705882
ID577,39.0
ID576,39.0
ID519,40.50588235294117
ID633,39.0
ID634,39.0
ID691,39.0
ID690,39.0
ID747,39.0
ID748,39.0
ID692,41.49411764705882
ID693,43.0
ID749,41.49411764705882
ID750,43.0
ID751,43.0
ID694,43.0
ID637,43.0
ID636,43.0
ID635,41.49411764705882
ID581,43.0
ID638,43.0
ID582,46.11764705882353
ID639,46.11764705882353
ID696,46.11764705882353
ID695,43.0
ID752,43.0
ID753,46.11764705882353
ID697,48.0
ID754,48.0
ID698,48.0
ID755,48.0
ID756,48.0
ID699,48.0
ID642,48.0
ID641,48.0
ID640,48.0
ID583,48.0
ID584,48.0
ID585,48.0
ID528,47.62352941176471
ID527,47.62352941176471
ID526,47.62352941176471
ID470,47.0
ID471,47.0
ID469,47.0
ID468,45.87058823529412
ID525,46.023529411764706
ID524,43.37647058823529
ID467,44.0
ID411,45.87058823529412
ID410,44.0
ID353,44.0
ID354,45.87058823529412
ID412,47.0
ID355,47.0
ID413,47.0
ID414,47.0
ID356,47.0
ID357,47.0
ID415,47.0
ID358,47.0
ID416,47.62352941176471
ID359,47.62352941176471
ID472,47.0
ID473,47.62352941176471
ID529,47.62352941176471
ID586,48.0
ID530,47.858823529411765
ID587,48.0
ID474,48.0
ID531,48.0
ID588,48.0
ID532,48.0
ID589,48.0
ID475,48.0
ID418,48.0
ID417,48.0
ID360,48.0
ID361,48.0
ID362,48.0
ID419,48.0
ID363,46.12941176470588
ID420,46.12941176470588
ID476,48.0
ID477,46.12941176470588
ID478,45.0
ID421,45.0
ID364,45.0
ID422,45.0
ID365,45.0
ID423,45.0
ID366,45.0
ID479,45.0
ID480,45.0
ID535,45.0
ID536,45.0
ID537,45.0
ID594,45.0
ID593,45.0
ID592,45.0
ID591,46.12941176470588
ID534,46.12941176470588
ID533,48.0
ID590,48.0
ID647,48.0
ID648,46.12941176470588
ID646,48.0
ID649,45.0
ID650,45.0
ID651,45.0
ID706,45.0
ID707,45.0
ID708,45.0
ID764,45.0
ID765,45.0
ID763,45.0
ID762,46.12941176470588
ID705,46.12941176470588
ID704,48.0
ID703,48.0
ID761,48.0
ID760,48.0
ID759,48.0
ID702,48.0
ID758,48.0
ID701,48.0
ID644,48.0
ID645,48.0
ID643,48.0
ID700,48.0
ID757,48.0
ID813,49.87058823529412
ID814,49.87058823529412
ID815,49.87058823529412
ID871,51.0
ID872,51.0
ID870,51.0
ID927,51.0
ID928,51.0
ID984,51.0
ID985,51.0
ID929,51.0
ID986,51.0
ID873,51.0
ID930,51.0
ID987,51.0
ID931,51.0
ID988,51.0
ID874,51.0
ID817,49.87058823529412
