ID,mean
ID798,24.0
ID741,24.0
ID855,24.0
ID912,24.0
ID969,24.0
ID1083,21.50588235294118
ID1140,20.0
ID1026,24.0
ID970,24.0
ID1027,24.0
ID971,24.0
ID972,24.0
ID1028,24.0
ID1029,24.0
ID1085,21.50588235294118
ID1086,23.058823529411768
ID1084,21.50588235294118
ID1141,20.0
ID1142,20.0
ID1143,22.49411764705882
ID1087,24.0
ID1144,24.0
ID1145,24.0
ID1088,24.0
ID1031,24.0
ID1030,24.0
ID973,24.0
ID974,24.0
ID917,24.0
ID916,24.0
ID860,24.0
ID859,24.0
ID915,24.0
ID858,24.0
ID914,24.0
ID913,24.0
ID856,24.0
ID857,24.0
ID800,24.0
ID801,24.0
ID799,24.0
ID742,24.0
ID743,24.0
ID744,24.0
ID745,24.0
ID802,24.0
ID803,24.0
ID746,24.0
ID687,24.0
ID688,24.0
ID689,24.0
ID632,24.0
ID631,24.0
ID575,24.0
ID574,24.0
ID630,24.0
ID573,24.0
ID686,24.0
ID629,24.0
ID685,24.0
ID628,24.0
ID572,24.0
ID571,24.0
ID570,24.0
ID627,24.0
ID684,24.0
ID513,24.376470588235293
ID456,25.0
ID399,25.0
ID400,25.0
ID401,25.0
ID402,26.247058823529414
ID457,25.0
ID458,25.0
ID459,26.247058823529414
ID514,24.376470588235293
ID515,24.376470588235293
ID516,24.847058823529412
ID460,27.0
ID517,25.129411764705882
ID518,25.129411764705882
ID461,27.0
ID404,27.0
ID403,27.0
ID345,26.247058823529414
ID346,27.0
ID347,27.0
ID405,27.0
ID348,27.0
ID462,27.0
ID406,27.0
ID463,27.0
ID349,27.0
ID407,27.0
ID350,27.0
ID408,27.0
ID351,27.0
ID352,27.0
ID409,27.0
ID465,27.0
ID466,27.0
ID464,27.0
ID521,26.294117647058822
ID520,25.129411764705882
ID522,27.0
ID523,27.0
ID579,27.0
ID580,27.0
ID578,25.870588235294115
ID577,24.0
ID576,24.0
ID519,25.129411764705882
ID633,24.0
ID634,24.0
ID691,24.0
ID690,24.0
ID747,24.0
ID748,24.0
ID692,25.870588235294115
ID693,27.0
ID749,25.870588235294115
ID750,27.0
ID751,27.0
ID694,27.0
ID637,27.0
ID636,27.0
ID635,25.870588235294115
ID581,27.0
ID638,27.0
ID582,28.247058823529414
ID639,28.247058823529414
ID696,28.247058823529414
ID695,27.0
ID752,27.0
ID753,28.247058823529414
ID697,29.0
ID754,29.0
ID698,29.0
ID755,29.0
ID756,29.0
ID699,29.0
ID642,29.0
ID641,29.0
ID640,29.0
ID583,29.0
ID584,29.0
ID585,29.0
ID528,29.0
ID527,29.0
ID526,29.0
ID470,29.0
ID471,29.0
ID469,29.0
ID468,28.247058823529414
ID525,28.247058823529414
ID524,27.0
ID467,27.0
ID411,28.247058823529414
ID410,27.0
ID353,27.0
ID354,28.247058823529414
ID412,29.0
ID355,29.0
ID413,29.0
ID414,29.0
ID356,29.0
ID357,29.0
ID415,29.0
ID358,29.0
ID416,28.376470588235293
ID359,28.376470588235293
ID472,29.0
ID473,28.376470588235293
ID529,29.0
ID586,29.0
ID530,28.764705882352942
ID587,29.0
ID474,28.0
ID531,28.623529411764707
ID588,29.0
ID532,28.623529411764707
ID589,29.0
ID475,28.0
ID418,28.0
ID417,28.0
ID360,28.0
ID361,28.0
ID362,28.0
ID419,28.0
ID363,26.752941176470586
ID420,26.752941176470586
ID476,28.0
ID477,26.752941176470586
ID478,26.0
ID421,26.0
ID364,26.0
ID422,26.0
ID365,26.0
ID423,26.0
ID366,26.0
ID479,26.0
ID480,26.0
ID535,26.623529411764707
ID536,26.623529411764707
ID537,26.623529411764707
ID594,27.0
ID593,27.0
ID592,27.0
ID591,27.752941176470586
ID534,27.376470588235293
ID533,28.623529411764707
ID590,29.0
ID647,29.0
ID648,27.752941176470586
ID646,29.0
ID649,27.0
ID650,27.0
ID651,27.0
ID706,27.0
ID707,27.0
ID708,27.0
ID764,27.0
ID765,27.0
ID763,27.0
ID762,27.752941176470586
ID705,27.752941176470586
ID704,29.0
ID703,29.0
ID761,29.0
ID760,29.0
ID759,29.0
ID702,29.0
ID758,29.0
ID701,29.0
ID644,29.0
ID645,29.0
ID643,29.0
ID700,29.0
ID757,29.0
ID813,30.24705882352941
ID814,30.24705882352941
ID815,30.24705882352941
ID871,31.0
ID872,31.0
ID870,31.0
ID927,31.0
ID928,31.0
ID984,31.0
ID985,31.0
ID929,31.0
ID986,31.0
ID873,31.0
ID930,31.0
ID987,31.0
ID931,31.0
ID988,31.0
ID874,31.0
ID817,30.24705882352941
ID816,30.24705882352941
ID818,30.24705882352941
ID819,29.0
ID875,31.0
ID876,29.752941176470586
ID877,29.0
ID820,28.247058823529414
ID821,28.247058823529414
ID822,28.247058823529414
ID879,29.0
ID878,29.0
ID934,29.0
ID935,29.0
ID936,29.0
ID993,29.0
ID992,29.0
ID991,29.0
ID990,29.752941176470586
ID933,29.752941176470586
ID932,31.0
ID989,31.0
ID1045,31.0
ID1046,31.0
ID1047,29.752941176470586
ID1048,29.0
ID1049,29.0
ID1050,29.0
ID1105,30.24705882352941
ID1106,30.24705882352941
ID1107,30.24705882352941
ID1163,31.0
ID1164,31.0
ID1162,31.0
ID1161,31.75294117647059
ID1104,31.0
ID1103,32.247058823529414
ID1102,32.247058823529414
ID1159,33.0
ID1160,33.0
ID1158,33.0
ID1101,32.247058823529414
ID1157,33.0
ID1100,32.247058823529414
ID1043,31.0
ID1044,31.0
ID1042,31.0
ID1041,31.0
ID1098,32.247058823529414
ID1099,32.247058823529414
ID1156,33.0
ID1155,33.0
ID1154,33.0
ID1153,33.0
ID1097,32.247058823529414
ID1096,32.247058823529414
ID1040,31.0
ID1039,31.0
ID1095,30.88235294117647
ID1038,29.870588235294118
ID1152,31.494117647058825
ID1151,29.0
ID1094,28.623529411764707
ID1150,29.0
ID1093,28.623529411764707
ID1036,28.0
ID1037,28.0
ID980,28.0
ID979,28.0
ID981,29.870588235294118
