ID,Intersect
ID798,0.0
ID741,0.0
ID855,0.0
ID912,0.0
ID969,0.0
ID1083,0.0
ID1140,0.0
ID1026,0.0
ID970,0.0
ID1027,0.0
ID971,0.0
ID972,0.0
ID1028,0.0
ID1029,0.0
ID1085,0.0
ID1086,0.0
ID1084,0.0
ID1141,0.0
ID1142,0.0
ID1143,0.0
ID1087,0.0
ID1144,0.0
ID1145,0.0
ID1088,0.0
ID1031,0.0
ID1030,0.0
ID973,0.0
ID974,0.0
ID917,0.0
ID916,0.0
ID860,0.0
ID859,0.0
ID915,0.0
ID858,0.0
ID914,0.0
ID913,0.0
ID856,0.0
ID857,0.0
ID800,0.0
ID801,0.0
ID799,0.0
ID742,0.0
ID743,0.0
ID744,0.0
ID745,0.0
ID802,0.0
ID803,0.0
ID746,0.0
ID687,0.0
ID688,0.0
ID689,0.0
ID632,0.0
ID631,0.0
ID575,0.0
ID574,0.0
ID630,0.0
ID573,0.0
ID686,0.0
ID629,0.0
ID685,0.0
ID628,0.0
ID572,0.0
ID571,0.0
ID570,0.0
ID627,0.0
ID684,0.0
ID513,0.0
ID456,0.0
ID399,0.0
ID400,0.0
ID401,0.0
ID402,0.0
ID457,0.0
ID458,0.0
ID459,0.0
ID514,0.0
ID515,0.0
ID516,0.0
ID460,0.0
ID517,0.0
ID518,0.0
ID461,0.0
ID404,0.0
ID403,0.0
ID345,0.0
ID346,0.0
ID347,0.0
ID405,0.0
ID348,0.0
ID462,0.0
ID406,0.0
ID463,0.0
ID349,0.0
ID407,0.0
ID350,0.0
ID408,0.0
ID351,0.0
ID352,0.0
ID409,0.0
ID465,0.0
ID466,0.0
ID464,0.0
ID521,0.0
ID520,0.0
ID522,0.0
ID523,0.0
ID579,0.0
ID580,0.0
ID578,0.0
ID577,0.0
ID576,0.0
ID519,0.0
ID633,0.0
ID634,0.0
ID691,0.0
ID690,0.0
ID747,0.0
ID748,0.0
ID692,0.0
ID693,0.0
ID749,0.0
ID750,0.0
ID751,0.0
ID694,0.0
ID637,0.0
ID636,0.0
ID635,0.0
ID581,0.0
ID638,0.0
ID582,0.0
ID639,0.0
ID696,0.0
ID695,0.0
ID752,0.0
ID753,0.0
ID697,0.0
ID754,0.0
ID698,0.0
ID755,0.0
ID756,0.0
ID699,0.0
ID642,0.0
ID641,0.0
ID640,0.0
ID583,0.0
ID584,0.0
ID585,0.0
ID528,0.0
ID527,0.0
ID526,0.0
ID470,0.0
ID471,0.0
ID469,0.0
ID468,0.0
ID525,0.0
ID524,0.0
ID467,0.0
ID411,0.0
ID410,0.0
ID353,0.0
ID354,0.0
ID412,0.0
ID355,0.0
ID413,0.0
ID414,0.0
ID356,0.0
ID357,0.0
ID415,0.0
ID358,0.0
ID416,0.0
ID359,0.0
ID472,0.0
ID473,0.0
ID529,0.0
ID586,0.0
ID530,0.0
ID587,0.0
ID474,0.0
ID531,0.0
ID588,0.0
ID532,0.0
ID589,0.0
ID475,0.0
ID418,0.0
ID417,0.0
ID360,0.0
ID361,0.0
ID362,0.0
ID419,0.0
ID363,0.0
ID420,0.0
ID476,0.0
ID477,0.0
ID478,0.0
ID421,0.0
ID364,0.0
ID422,0.0
ID365,0.0
ID423,0.0
ID366,0.0
ID479,0.0
ID480,0.0
ID535,0.0
ID536,0.0
ID537,0.0
ID594,0.0
ID593,0.0
ID592,0.0
ID591,0.0
ID534,0.0
ID533,0.0
ID590,0.0
ID647,0.0
ID648,0.0
ID646,897.8486712957563
ID649,0.0
ID650,0.0
ID651,0.0
ID706,0.0
ID707,0.0
ID708,17059.06782029358
ID764,0.0
ID765,0.0
