d_oldage,d_health,d_rvf,d_cbpp,hsize_mean,hsize_min,hsize_max,rvf,cbpp
1661,19,514,284,1.46,0,19,-0.38,-0.2
1649,7,526,254,1.05,0,9,-0.38000000000000006,-0.14
1673,18,483,296,1.61,0,28,-0.24,-0.38
1605,9,510,333,1.54,0,14,-0.18,-0.42000000000000004
1646,18,495,317,1.58,0,15,-0.38,-0.31999999999999995
1685,20,533,240,2.79,0,29,-0.14,-0.21999999999999997
1632,14,547,317,2.3,0,25,-0.22000000000000003,-0.26
1704,9,503,244,1.98,0,20,-0.22000000000000003,-0.18000000000000002
1627,14,523,281,1.26,0,15,-0.27999999999999997,-0.3
1645,14,531,298,1.28,0,11,-0.18,-0.4600000000000001
1637,12,548,271,1.82,0,19,-0.34,-0.33999999999999997
1644,7,555,270,1.26,0,11,-0.26,-0.26
1574,15,572,300,1.55,0,17,-0.28,-0.33999999999999997
1630,24,546,267,1.33,0,15,-0.36,-0.24
1632,20,560,294,1.45,0,25,-0.42000000000000004,-0.24000000000000005
1609,14,555,285,1.4,0,14,-0.34,-0.36
1552,14,573,324,0.83,0,12,-0.38,-0.4800000000000001
1609,11,529,253,1.06,0,14,-0.44000000000000006,-0.4
1576,6,520,240,0.88,0,11,-0.34,-0.22000000000000003
1618,15,556,251,1.14,0,14,-0.4,-0.3
1660,12,548,243,2.05,0,25,-0.4,-0.12
1635,11,555,312,1.48,0,15,-0.24000000000000005,-0.32
1624,20,554,322,1.45,0,14,-0.36,-0.36
1619,7,515,328,1.45,0,19,-0.26,-0.4800000000000001
1564,12,517,321,0.9,0,17,-0.4,-0.38
1653,7,459,300,1.28,0,11,-0.22000000000000003,-0.3
1677,22,548,292,2.06,0,16,-0.31999999999999995,-0.24
1639,11,547,308,1.68,0,19,-0.32,-0.4
1627,19,546,280,1.66,0,21,-0.34,-0.36
1703,15,518,233,1.83,0,15,-0.42000000000000004,-0.06000000000000001
1571,17,569,317,1.91,0,17,-0.4,-0.4
1633,9,504,269,1.83,0,24,-0.32,-0.38
1621,12,516,262,2.36,0,22,-0.24,-0.2
1689,10,497,236,1.9,0,25,-0.3,-0.28
1643,19,562,321,1.43,0,18,-0.27999999999999997,-0.38
1585,12,556,278,1.11,0,15,-0.38,-0.32
1614,11,588,248,1.01,0,10,-0.34,-0.16
1649,7,517,241,1.98,0,21,-0.4,-0.21999999999999997
1636,14,498,278,1.85,0,23,-0.13999999999999999,-0.3
1617,16,558,269,1.85,0,19,-0.28,-0.34
1629,14,533,314,1.08,0,20,-0.3,-0.36000000000000004
1642,9,521,320,1.73,0,22,-0.28,-0.38
1576,13,585,271,1.27,0,12,-0.30000000000000004,-0.24000000000000005
1664,18,500,269,1.22,0,17,-0.32,-0.4
1665,17,582,290,2.0,0,25,-0.31999999999999995,-0.18
1645,11,520,252,1.47,0,16,-0.3,-0.26
1637,20,580,232,1.84,0,22,-0.38,-0.18
1550,8,518,307,1.48,0,17,-0.34,-0.3
1663,13,525,275,2.16,0,34,-0.32000000000000006,-0.12000000000000002
1626,13,494,357,1.6,0,21,-0.16,-0.4800000000000001
