d_oldage,d_health,d_rvf,d_cbpp,hsize_mean,hsize_min,hsize_max,rvf,cbpp
1806,23,484,121,3.16,0,27,0.5199999999999999,0.7
1770,19,480,148,2.88,0,35,0.48,0.62
1800,16,471,142,3.17,0,19,0.6000000000000001,0.56
1686,21,557,176,1.49,0,21,-0.6599999999999999,0.24
1839,19,486,138,3.84,0,19,0.62,0.58
1804,16,465,146,3.04,0,34,0.6,0.74
1799,20,518,160,3.28,0,37,0.56,0.62
1810,23,478,162,3.35,0,20,0.6599999999999999,0.52
1808,7,486,116,3.2,0,31,0.56,0.6
1767,21,493,156,2.62,0,27,0.6,0.5599999999999999
1813,14,482,120,3.42,0,28,0.54,0.7
1837,21,485,120,3.17,0,20,0.62,0.6399999999999999
1693,10,470,317,1.29,0,18,0.2799999999999999,-0.48
1807,18,491,130,3.23,0,26,0.44000000000000006,0.6799999999999999
1785,19,516,138,2.81,0,19,-0.36000000000000004,0.74
1781,14,497,137,2.68,0,20,0.72,0.6399999999999999
1769,17,489,143,2.42,0,23,0.6,0.5599999999999999
1771,12,478,149,2.15,0,15,0.6,0.5399999999999999
1681,10,494,138,1.96,0,23,0.52,0.52
1754,9,505,142,3.04,0,24,0.6599999999999999,0.66
1754,17,528,124,2.12,0,18,0.54,0.76
1800,13,502,165,3.21,0,32,0.66,0.26
1841,14,487,125,3.89,0,28,0.64,0.6599999999999999
1790,10,486,140,3.97,0,31,0.52,0.6
1751,12,494,132,2.51,0,26,0.48,0.76
1791,9,470,136,2.73,0,22,0.58,0.44000000000000006
1788,16,518,189,3.45,0,20,0.58,0.33999999999999997
1848,25,481,161,3.74,0,29,0.6199999999999999,0.5199999999999999
1759,22,491,226,2.53,0,16,0.64,-0.019999999999999997
1820,18,477,127,3.4,0,24,0.6199999999999999,0.54
1835,34,481,136,3.53,0,25,0.54,0.6400000000000001
1813,12,498,118,2.78,0,34,0.78,0.72
1753,19,504,145,2.89,0,18,0.6799999999999999,0.62
1783,21,472,123,2.65,0,19,0.6599999999999999,0.6200000000000001
1822,13,496,128,3.54,0,27,0.6399999999999999,0.74
1744,15,494,138,2.37,0,18,0.6,0.6199999999999999
1785,12,482,172,2.66,0,15,0.78,0.36
1772,16,499,132,2.62,0,25,0.54,0.6599999999999999
1743,9,478,172,2.47,0,21,0.54,0.5
1723,11,603,133,2.57,0,24,-0.76,0.64
1790,22,482,140,2.83,0,19,0.7,0.6599999999999999
1790,17,490,166,3.45,0,25,0.6200000000000001,0.54
1718,16,550,135,2.79,0,21,0.08,0.7
1810,19,472,110,3.0,0,30,0.64,0.58
1806,19,507,116,4.03,0,28,0.7999999999999999,0.72
1777,13,489,108,2.53,0,20,0.4,0.6399999999999999
1786,13,491,165,2.61,0,22,0.4600000000000001,0.36
1643,12,487,287,0.95,0,12,0.58,-0.58
1781,19,475,145,2.92,0,20,0.56,0.6
1819,27,497,147,3.55,0,27,0.6799999999999999,0.4999999999999999
